Date,Year,Month,Hour,DA,Imb_Pos,Imb_Neg,aFRR,mFRR
2018-01-01 00:00:00,2018,1,0,4.74,43.71,43.71,,
2018-01-01 01:00:00,2018,1,1,3.66,57.239999999999995,57.239999999999995,,
2018-01-01 02:00:00,2018,1,2,1.26,55.480000000000004,55.480000000000004,,
2018-01-01 03:00:00,2018,1,3,-20.1,45.59,45.59,,
2018-01-01 04:00:00,2018,1,4,-31.82,25.55,25.55,,
2018-01-01 05:00:00,2018,1,5,-28.66,22.04,22.04,,
2018-01-01 06:00:00,2018,1,6,-13.71,71.69,71.69,,
2018-01-01 07:00:00,2018,1,7,-4.14,46.92,46.92,,
2018-01-01 08:00:00,2018,1,8,2.03,42.99,42.99,,
2018-01-01 09:00:00,2018,1,9,-15.51,21.63,21.63,,
2018-01-01 10:00:00,2018,1,10,-0.42,12.91,12.91,,
2018-01-01 11:00:00,2018,1,11,2.3,65.67,65.67,,
2018-01-01 12:00:00,2018,1,12,2.3,64.9,64.9,,
2018-01-01 13:00:00,2018,1,13,5.0,69.84,69.84,,
2018-01-01 14:00:00,2018,1,14,8.56,50.019999999999996,50.019999999999996,,
2018-01-01 15:00:00,2018,1,15,9.42,47.67,47.67,,
2018-01-01 16:00:00,2018,1,16,12.46,83.21000000000001,83.21000000000001,,
2018-01-01 17:00:00,2018,1,17,15.93,118.92,118.92,,
2018-01-01 18:00:00,2018,1,18,22.02,118.07,118.07,,
2018-01-01 19:00:00,2018,1,19,20.0,127.67,127.67,,
2018-01-01 20:00:00,2018,1,20,21.95,71.55,71.55,,
2018-01-01 21:00:00,2018,1,21,23.52,63.88,63.88,,
2018-01-01 22:00:00,2018,1,22,16.35,32.7,32.7,,
2018-01-01 23:00:00,2018,1,23,14.43,40.74,40.74,,
2018-01-02 00:00:00,2018,1,0,10.26,47.769999999999996,47.769999999999996,,
2018-01-02 01:00:00,2018,1,1,7.48,28.199999999999996,28.199999999999996,,
2018-01-02 02:00:00,2018,1,2,4.52,18.590000000000003,18.590000000000003,,
2018-01-02 03:00:00,2018,1,3,4.24,8.48,8.48,,
2018-01-02 04:00:00,2018,1,4,8.36,24.3,24.3,,
2018-01-02 05:00:00,2018,1,5,22.58,65.2,65.2,,
2018-01-02 06:00:00,2018,1,6,41.92,95.63,95.63,,
2018-01-02 07:00:00,2018,1,7,47.95,82.12,82.12,,
2018-01-02 08:00:00,2018,1,8,49.9,82.49000000000001,82.49000000000001,,
2018-01-02 09:00:00,2018,1,9,50.0,101.31,101.31,,
2018-01-02 10:00:00,2018,1,10,49.7,113.88000000000001,113.88000000000001,,
2018-01-02 11:00:00,2018,1,11,48.16,125.46000000000001,125.46000000000001,,
2018-01-02 12:00:00,2018,1,12,47.24,116.99000000000001,116.99000000000001,,
2018-01-02 13:00:00,2018,1,13,46.1,98.23,98.23,,
2018-01-02 14:00:00,2018,1,14,43.86,89.04,89.04,,
2018-01-02 15:00:00,2018,1,15,43.64,116.41,116.41,,
2018-01-02 16:00:00,2018,1,16,47.37,105.94999999999999,105.94999999999999,,
2018-01-02 17:00:00,2018,1,17,46.08,113.0,113.0,,
2018-01-02 18:00:00,2018,1,18,41.08,97.77,97.77,,
