parsed_date,mail_date,week_num,source,product,year,bid,ask,delta,term
2026-04-22,2020-05-01,18,Commerg,GO AIB Renewable,2020,0.1513,,,Y + 0
2026-04-22,2020-05-08,19,Commerg,GO AIB Renewable,2020,0.1719,,,Y + 0
2026-04-22,2020-05-15,20,Commerg,GO AIB Renewable,2020,0.2225,,,Y + 0
2026-04-22,2020-05-22,21,Commerg,GO AIB Renewable,2020,0.22,,,Y + 0
2026-04-22,2020-05-29,22,Commerg,GO AIB Renewable,2020,0.1875,,,Y + 0
2026-04-22,2020-06-05,23,Commerg,GO AIB Renewable,2020,0.1875,,,Y + 0
2026-04-22,2020-06-12,24,Commerg,GO AIB Renewable,2020,0.18,,,Y + 0
2026-04-22,2020-06-19,25,Commerg,GO AIB Renewable,2020,0.1675,,,Y + 0
2026-04-22,2020-06-26,26,Commerg,GO AIB Renewable,2020,0.1475,,,Y + 0
2026-04-22,2020-07-03,27,Commerg,GO AIB Renewable,2020,0.1675,,,Y + 0
2026-04-22,2020-07-10,28,Commerg,GO AIB Renewable,2020,0.1625,,,Y + 0
2026-04-22,2020-07-17,29,Commerg,GO AIB Renewable,2020,0.175,,,Y + 0
2026-04-22,2020-07-24,30,Commerg,GO AIB Renewable,2020,0.17,,,Y + 0
2026-04-22,2020-07-31,31,Commerg,GO AIB Renewable,2020,0.1725,,,Y + 0
2026-04-22,2020-08-07,32,Commerg,GO AIB Renewable,2020,0.1738,,,Y + 0
2026-04-22,2020-08-14,33,Commerg,GO AIB Renewable,2020,0.1675,,,Y + 0
2026-04-22,2020-08-21,34,Commerg,GO AIB Renewable,2020,0.1675,,,Y + 0
2026-04-22,2020-08-28,35,Commerg,GO AIB Renewable,2020,0.1575,,,Y + 0
2026-04-22,2020-09-04,36,Commerg,GO AIB Renewable,2020,0.1475,,,Y + 0
2026-04-22,2020-09-11,37,Commerg,GO AIB Renewable,2020,0.1338,,,Y + 0
2026-04-22,2020-12-18,51,Commerg,GO AIB Renewable,2020,0.1013,,,Y + 0
2026-04-22,2020-12-24,52,Commerg,GO AIB Renewable,2020,0.1038,,,Y + 0
2026-04-22,2021-01-08,2,Commerg,GO AIB Renewable,2021,0.2725,,,Y + 0
2026-04-22,2021-01-15,3,Commerg,GO AIB Renewable,2021,0.2563,,,Y + 0
2026-04-22,2021-01-22,4,Commerg,GO AIB Renewable,2021,0.2388,,,Y + 0
2026-04-22,2021-01-29,5,Commerg,GO AIB Renewable,2021,0.235,,,Y + 0
2026-04-22,2021-02-05,6,Commerg,GO AIB Renewable,2021,0.2213,,,Y + 0
2026-04-22,2021-02-12,7,Commerg,GO AIB Renewable,2021,0.2263,,,Y + 0
2026-04-22,2021-02-19,8,Commerg,GO AIB Renewable,2021,0.225,,,Y + 0
2026-04-22,2021-02-26,9,Commerg,GO AIB Renewable,2021,0.2138,,,Y + 0
2026-04-22,2021-03-05,10,Commerg,GO AIB Renewable,2021,0.2263,,,Y + 0
2026-04-22,2021-03-12,11,Commerg,GO AIB Renewable,2021,0.1975,,,Y + 0
2026-04-22,2021-03-19,12,Commerg,GO AIB Renewable,2021,0.2038,,,Y + 0
2026-04-22,2021-03-26,13,Commerg,GO AIB Renewable,2021,0.23,,,Y + 0
2026-04-22,2021-04-02,14,Commerg,GO AIB Renewable,2021,0.2388,,,Y + 0
2026-04-22,2021-04-09,15,Commerg,GO AIB Renewable,2021,0.2225,,,Y + 0
2026-04-22,2021-04-16,16,Commerg,GO AIB Renewable,2021,0.2338,,,Y + 0
2026-04-22,2021-04-16,16,Commerg,GO AIB Renewable,2022,0.325,,,Y + 1
2026-04-22,2021-04-16,16,Commerg,GO AIB Renewable,2023,0.36,,,Y + 2
2026-04-22,2021-04-16,16,Commerg,GO AIB Solar,2021,0.265,,,Y + 0
2026-04-22,2021-04-16,16,Commerg,GO AIB Solar,2022,0.385,,,Y + 1
2026-04-22,2021-04-16,16,Commerg,GO AIB Solar,2023,0.45,,,Y + 2
2026-04-22,2021-04-16,16,Commerg,GO AIB Wind,2021,0.24,,,Y + 0
2026-04-22,2021-04-16,16,Commerg,GO AIB Wind,2022,0.35,,,Y + 1
2026-04-22,2021-04-16,16,Commerg,GO AIB Wind,2023,0.385,,,Y + 2
2026-04-22,2021-04-23,17,Commerg,GO AIB Renewable,2021,0.3025,,,Y + 0
2026-04-22,2021-04-23,17,Commerg,GO AIB Renewable,2022,0.355,,,Y + 1
2026-04-22,2021-04-23,17,Commerg,GO AIB Renewable,2023,0.4,,,Y + 2
2026-04-22,2021-04-23,17,Commerg,GO AIB Solar,2021,0.32,,,Y + 0
2026-04-22,2021-04-23,17,Commerg,GO AIB Solar,2022,0.41,,,Y + 1
2026-04-22,2021-04-23,17,Commerg,GO AIB Solar,2023,0.47,,,Y + 2
2026-04-22,2021-04-23,17,Commerg,GO AIB Wind,2021,0.295,,,Y + 0
2026-04-22,2021-04-23,17,Commerg,GO AIB Wind,2022,0.385,,,Y + 1
2026-04-22,2021-04-23,17,Commerg,GO AIB Wind,2023,0.4525,,,Y + 2
2026-04-22,2021-04-30,18,Commerg,GO AIB Renewable,2021,0.2988,,,Y + 0
2026-04-22,2021-04-30,18,Commerg,GO AIB Renewable,2022,0.3875,,,Y + 1
2026-04-22,2021-04-30,18,Commerg,GO AIB Renewable,2023,0.42,,,Y + 2
2026-04-22,2021-04-30,18,Commerg,GO AIB Solar,2021,0.345,,,Y + 0
2026-04-22,2021-04-30,18,Commerg,GO AIB Solar,2022,0.425,,,Y + 1
2026-04-22,2021-04-30,18,Commerg,GO AIB Solar,2023,0.47,,,Y + 2
2026-04-22,2021-04-30,18,Commerg,GO AIB Wind,2021,0.3275,,,Y + 0
2026-04-22,2021-04-30,18,Commerg,GO AIB Wind,2022,0.42,,,Y + 1
2026-04-22,2021-04-30,18,Commerg,GO AIB Wind,2023,0.4525,,,Y + 2
2026-04-22,2021-05-07,19,Commerg,GO AIB Renewable,2021,0.4488,,,Y + 0
2026-04-22,2021-05-07,19,Commerg,GO AIB Renewable,2022,0.5225,,,Y + 1
2026-04-22,2021-05-07,19,Commerg,GO AIB Renewable,2023,0.56,,,Y + 2
2026-04-22,2021-05-07,19,Commerg,GO AIB Solar,2021,0.48,,,Y + 0
2026-04-22,2021-05-07,19,Commerg,GO AIB Solar,2022,0.59,,,Y + 1
2026-04-22,2021-05-07,19,Commerg,GO AIB Solar,2023,0.625,,,Y + 2
2026-04-22,2021-05-07,19,Commerg,GO AIB Wind,2021,0.455,,,Y + 0
2026-04-22,2021-05-07,19,Commerg,GO AIB Wind,2022,0.52,,,Y + 1
2026-04-22,2021-05-07,19,Commerg,GO AIB Wind,2023,0.595,,,Y + 2
2026-04-22,2021-05-12,20,STX,GO Ireland Wind,2021,0.38,,,Y + 0
2026-04-22,2021-05-14,20,Commerg,GO AIB Renewable,2021,0.46,,,Y + 0
2026-04-22,2021-05-14,20,Commerg,GO AIB Renewable,2022,0.62,,,Y + 1
2026-04-22,2021-05-14,20,Commerg,GO AIB Renewable,2023,0.68,,,Y + 2
2026-04-22,2021-05-14,20,Commerg,GO AIB Solar,2021,0.52,,,Y + 0
2026-04-22,2021-05-14,20,Commerg,GO AIB Solar,2022,0.68,,,Y + 1
2026-04-22,2021-05-14,20,Commerg,GO AIB Solar,2023,0.72,,,Y + 2
2026-04-22,2021-05-14,20,Commerg,GO AIB Wind,2021,0.48,,,Y + 0
2026-04-22,2021-05-14,20,Commerg,GO AIB Wind,2022,0.65,,,Y + 1
2026-04-22,2021-05-14,20,Commerg,GO AIB Wind,2023,0.68,,,Y + 2
2026-04-22,2021-05-21,21,Commerg,GO AIB Renewable,2021,0.48,,,Y + 0
2026-04-22,2021-05-21,21,Commerg,GO AIB Renewable,2022,0.71,,,Y + 1
2026-04-22,2021-05-21,21,Commerg,GO AIB Renewable,2023,0.76,,,Y + 2
2026-04-22,2021-05-21,21,Commerg,GO AIB Solar,2021,0.54,,,Y + 0
2026-04-22,2021-05-21,21,Commerg,GO AIB Solar,2022,0.8,,,Y + 1
2026-04-22,2021-05-21,21,Commerg,GO AIB Solar,2023,0.82,,,Y + 2
2026-04-22,2021-05-21,21,Commerg,GO AIB Wind,2021,0.5,,,Y + 0
2026-04-22,2021-05-21,21,Commerg,GO AIB Wind,2022,0.75,,,Y + 1
2026-04-22,2021-05-21,21,Commerg,GO AIB Wind,2023,0.81,,,Y + 2
2026-04-22,2021-05-28,22,Commerg,GO AIB Renewable,2021,0.41,,,Y + 0
2026-04-22,2021-05-28,22,Commerg,GO AIB Renewable,2022,0.61,,,Y + 1
2026-04-22,2021-05-28,22,Commerg,GO AIB Renewable,2023,0.74,,,Y + 2
2026-04-22,2021-05-28,22,Commerg,GO AIB Solar,2021,0.51,,,Y + 0
2026-04-22,2021-05-28,22,Commerg,GO AIB Solar,2022,0.72,,,Y + 1
2026-04-22,2021-05-28,22,Commerg,GO AIB Solar,2023,0.76,,,Y + 2
2026-04-22,2021-05-28,22,Commerg,GO AIB Wind,2021,0.44,,,Y + 0
2026-04-22,2021-05-28,22,Commerg,GO AIB Wind,2022,0.62,,,Y + 1
2026-04-22,2021-05-28,22,Commerg,GO AIB Wind,2023,0.7,,,Y + 2
2026-04-22,2021-06-04,23,Commerg,GO AIB Renewable,2021,0.4,,,Y + 0
2026-04-22,2021-06-04,23,Commerg,GO AIB Renewable,2022,0.6,,,Y + 1
2026-04-22,2021-06-04,23,Commerg,GO AIB Renewable,2023,0.7,,,Y + 2
2026-04-22,2021-06-04,23,Commerg,GO AIB Solar,2021,0.5,,,Y + 0
2026-04-22,2021-06-04,23,Commerg,GO AIB Solar,2022,0.7,,,Y + 1
2026-04-22,2021-06-04,23,Commerg,GO AIB Solar,2023,0.75,,,Y + 2
2026-04-22,2021-06-04,23,Commerg,GO AIB Wind,2021,0.44,,,Y + 0
2026-04-22,2021-06-04,23,Commerg,GO AIB Wind,2022,0.64,,,Y + 1
2026-04-22,2021-06-04,23,Commerg,GO AIB Wind,2023,0.69,,,Y + 2
2026-04-22,2021-06-11,24,Commerg,GO AIB Renewable,2021,0.35,,,Y + 0
2026-04-22,2021-06-11,24,Commerg,GO AIB Renewable,2022,0.54,,,Y + 1
2026-04-22,2021-06-11,24,Commerg,GO AIB Renewable,2023,0.63,,,Y + 2
2026-04-22,2021-06-11,24,Commerg,GO AIB Solar,2021,0.43,,,Y + 0
2026-04-22,2021-06-11,24,Commerg,GO AIB Solar,2022,0.63,,,Y + 1
2026-04-22,2021-06-11,24,Commerg,GO AIB Solar,2023,0.7,,,Y + 2
2026-04-22,2021-06-11,24,Commerg,GO AIB Wind,2021,0.37,,,Y + 0
2026-04-22,2021-06-11,24,Commerg,GO AIB Wind,2022,0.55,,,Y + 1
2026-04-22,2021-06-11,24,Commerg,GO AIB Wind,2023,0.65,,,Y + 2
2026-04-22,2021-06-18,25,Commerg,GO AIB Renewable,2021,0.37,,,Y + 0
2026-04-22,2021-06-18,25,Commerg,GO AIB Renewable,2022,0.54,,,Y + 1
2026-04-22,2021-06-18,25,Commerg,GO AIB Renewable,2023,0.64,,,Y + 2
2026-04-22,2021-06-18,25,Commerg,GO AIB Solar,2021,0.41,,,Y + 0
2026-04-22,2021-06-18,25,Commerg,GO AIB Solar,2022,0.62,,,Y + 1
2026-04-22,2021-06-18,25,Commerg,GO AIB Solar,2023,0.69,,,Y + 2
2026-04-22,2021-06-18,25,Commerg,GO AIB Wind,2021,0.39,,,Y + 0
2026-04-22,2021-06-18,25,Commerg,GO AIB Wind,2022,0.56,,,Y + 1
2026-04-22,2021-06-18,25,Commerg,GO AIB Wind,2023,0.65,,,Y + 2
2026-04-22,2021-06-25,26,Commerg,GO AIB Renewable,2021,0.38,,,Y + 0
2026-04-22,2021-06-25,26,Commerg,GO AIB Renewable,2022,0.54,,,Y + 1
2026-04-22,2021-06-25,26,Commerg,GO AIB Renewable,2023,0.64,,,Y + 2
2026-04-22,2021-06-25,26,Commerg,GO AIB Solar,2021,0.41,,,Y + 0
2026-04-22,2021-06-25,26,Commerg,GO AIB Solar,2022,0.59,,,Y + 1
2026-04-22,2021-06-25,26,Commerg,GO AIB Solar,2023,0.7,,,Y + 2
2026-04-22,2021-06-25,26,Commerg,GO AIB Wind,2021,0.39,,,Y + 0
2026-04-22,2021-06-25,26,Commerg,GO AIB Wind,2022,0.55,,,Y + 1
2026-04-22,2021-06-25,26,Commerg,GO AIB Wind,2023,0.66,,,Y + 2
