Date,Year,Month,Hour,Spot,NatMW,SolarForecastMW,WindMW,NuclearMW,GasMW,HydroMW,OtherMW
2015-01-04 23:00:00,2015,1,23,36.56,0.0,0.0,1057.0,56499.0,2435.0,6090.0,278.0
2015-01-05 00:00:00,2015,1,0,34.94,0.0,0.0,1048.0,57024.0,2451.0,5830.0,279.0
2015-01-05 01:00:00,2015,1,1,32.19,0.0,0.0,1010.0,57350.0,2456.0,5648.0,279.0
2015-01-05 02:00:00,2015,1,2,23.53,0.0,0.0,947.0,55512.0,2481.0,5398.0,279.0
2015-01-05 03:00:00,2015,1,3,22.92,0.0,0.0,821.0,54950.0,2654.0,5300.0,278.0
2015-01-05 04:00:00,2015,1,4,34.26,0.0,0.0,760.0,56141.0,3006.0,5631.0,275.0
2015-01-05 05:00:00,2015,1,5,44.28,0.0,0.0,731.0,57792.0,3912.0,6894.0,274.0
2015-01-05 06:00:00,2015,1,6,50.38,0.0,0.0,825.0,58243.0,5527.0,9201.0,275.0
2015-01-05 07:00:00,2015,1,7,53.79,64.0,0.0,848.0,58628.0,6149.0,9613.0,272.0
2015-01-05 08:00:00,2015,1,8,52.03,371.0,0.0,796.0,58680.0,6389.0,9024.0,270.0
2015-01-05 09:00:00,2015,1,9,50.6,949.0,0.0,702.0,58682.0,6509.0,8890.0,271.0
2015-01-05 10:00:00,2015,1,10,50.5,1436.0,0.0,576.0,58697.0,6248.0,9006.0,271.0
2015-01-05 11:00:00,2015,1,11,48.45,1609.0,0.0,515.0,58645.0,6447.0,8920.0,272.0
2015-01-05 12:00:00,2015,1,12,44.54,1582.0,0.0,476.0,58636.0,6204.0,8300.0,272.0
2015-01-05 13:00:00,2015,1,13,42.0,1325.0,0.0,436.0,58727.0,6130.0,8228.0,271.0
2015-01-05 14:00:00,2015,1,14,43.1,819.0,0.0,429.0,58433.0,6035.0,7494.0,271.0
2015-01-05 15:00:00,2015,1,15,46.7,278.0,0.0,469.0,58535.0,6128.0,7420.0,277.0
2015-01-05 16:00:00,2015,1,16,56.78,41.0,0.0,546.0,58676.0,6514.0,11980.0,277.0
2015-01-05 17:00:00,2015,1,17,58.84,0.0,0.0,602.0,58779.0,6588.0,13679.0,277.0
2015-01-05 18:00:00,2015,1,18,53.6,0.0,0.0,610.0,58965.0,6506.0,13451.0,274.0
2015-01-05 19:00:00,2015,1,19,46.9,0.0,0.0,598.0,58920.0,6452.0,10725.0,275.0
2015-01-05 20:00:00,2015,1,20,44.58,0.0,0.0,623.0,58842.0,5672.0,7785.0,269.0
2015-01-05 21:00:00,2015,1,21,48.7,0.0,0.0,678.0,58625.0,5030.0,8529.0,264.0
2015-01-05 22:00:00,2015,1,22,46.06,0.0,0.0,729.0,58490.0,4664.0,8771.0,266.0
2015-01-05 23:00:00,2015,1,23,45.56,0.0,0.0,736.0,58852.0,3677.0,7119.0,264.0
2015-01-06 00:00:00,2015,1,0,40.28,0.0,0.0,739.0,58876.0,3434.0,6237.0,262.0
2015-01-06 01:00:00,2015,1,1,39.2,0.0,0.0,736.0,58745.0,3296.0,6082.0,258.0
2015-01-06 02:00:00,2015,1,2,36.22,0.0,0.0,753.0,58219.0,3228.0,5786.0,260.0
2015-01-06 03:00:00,2015,1,3,34.04,0.0,0.0,754.0,57933.0,3240.0,5578.0,259.0
2015-01-06 04:00:00,2015,1,4,38.58,0.0,0.0,823.0,58713.0,3443.0,6038.0,258.0
2015-01-06 05:00:00,2015,1,5,43.32,0.0,0.0,986.0,58980.0,4485.0,7354.0,256.0
2015-01-06 06:00:00,2015,1,6,50.0,0.0,0.0,1114.0,59216.0,5876.0,10054.0,257.0
2015-01-06 07:00:00,2015,1,7,49.53,62.0,0.0,1120.0,59748.0,6537.0,10753.0,255.0
